CH1,CH2,CH3,CH4,Label
0,0,0,10,focus
96,61,42,32,focus
0,0,5,14,focus
88,54,34,26,focus
0,0,9,18,focus
87,49,27,20,focus
0,0,14,21,focus
82,45,23,17,focus
0,3,23,27,focus
0,0,0,0,focus
96,67,45,31,focus
0,0,0,3,focus
95,63,44,32,focus
0,0,2,11,focus
92,56,37,28,focus
0,0,7,16,focus
91,52,30,22,focus
0,0,13,20,focus
84,46,24,18,focus
0,0,15,22,focus
59,22,8,7,focus
98,83,66,49,focus
0,0,3,14,focus
98,67,52,42,focus
0,0,2,15,focus
94,58,40,32,focus
0,0,6,16,focus
90,53,32,24,focus
0,0,11,19,focus
86,47,25,19,focus
0,0,15,21,focus
81,43,21,16,focus
39,62,58,48,focus
0,0,0,9,focus
98,67,50,40,focus
0,0,0,11,focus
95,61,42,32,focus
0,0,5,15,focus
92,54,34,26,focus
0,0,9,18,focus
87,49,27,20,focus
0,0,14,21,focus
84,46,23,17,focus
0,5,24,27,focus
0,0,0,0,focus
96,67,45,31,focus
0,0,0,3,focus
95,63,45,32,focus
0,0,3,12,focus
90,57,37,28,focus
0,0,7,16,focus
89,51,30,22,focus
0,0,13,20,focus
82,46,24,18,focus
0,0,15,22,focus
61,22,8,7,focus
98,84,66,49,focus
0,0,3,14,focus
97,67,53,42,focus
0,0,3,15,focus
94,58,40,32,focus
0,0,6,16,focus
92,53,32,25,focus
0,0,11,19,focus
84,47,25,19,focus
0,0,14,21,focus
80,43,21,16,focus
39,61,58,48,focus
0,0,0,9,focus
97,66,50,40,focus
0,0,0,11,focus
95,61,42,32,focus
0,0,5,15,focus
90,54,34,26,focus
0,0,9,18,focus
89,49,27,20,focus
0,0,14,21,focus
83,46,24,17,focus
0,6,25,27,focus
0,0,0,0,focus
98,67,45,31,focus
0,0,0,3,focus
97,63,45,32,focus
0,0,2,11,focus
92,56,37,28,focus
0,0,7,16,focus
90,51,30,22,focus
0,0,12,20,focus
84,46,24,18,focus
0,0,15,22,focus
55,18,5,6,focus
98,82,64,48,focus
0,0,2,13,focus
96,67,52,42,focus
0,0,3,15,focus
91,58,40,32,focus
0,0,6,16,focus
90,53,32,24,focus
0,0,11,19,focus
84,47,25,19,focus
0,0,14,21,focus
83,43,21,16,focus
44,63,59,48,focus
0,0,0,9,focus
97,66,50,40,focus
0,0,0,11,focus
96,60,42,32,focus
0,0,5,14,focus
90,54,34,26,focus
0,0,9,18,focus
87,49,27,20,focus
0,0,14,21,focus
82,45,23,17,focus
0,7,25,28,focus
0,0,0,0,focus
97,67,45,31,focus
0,0,0,3,focus
94,63,44,32,focus
0,0,2,11,focus
90,56,37,27,focus
0,0,7,16,focus
91,51,30,22,focus
0,0,13,20,focus
82,45,24,18,focus
0,0,15,21,focus
56,19,6,6,focus
99,83,65,48,focus
0,0,3,13,focus
97,67,52,42,focus
0,0,3,15,focus
